"147051";"A nos pères";"DONG Fangchen";"KOI FILMS";916490;"fiction";"2018"
"147135";"Adieu à la nuit (L')";"TECHINE André";"CURIOSA FILMS";4335050;"fiction";"2018"
"150003";"Adorables";"CICUREL Solange";"OTHER ANGLE PICTURES";2919310;"fiction";"2018"
"149290";"Ahmed";"DARDENNE Jean-Pierre / DARDENNE Luc";"ARCHIPEL 35";6176916;"fiction";"2018"
"147348";"Alad'2";"STEKETEE Lionel";"74 FILMS ET PATHÉ PRODUCTION";19829115;"fiction";"2018"
"148389";"Alexandre";"OZON François";"MANDARIN PRODUCTION ";5944013;"fiction";"2018"
"147111";"Alice et le maire";"PARISER Nicolas";"BIZIBI";4931080;"fiction";"2018"
"148901";"All inclusive";"ONTENIENTE Fabien";"MARVELOUS PRODUCTIONS ET CURIOSA FILMS";15404332;"fiction";"2018"
"146093";"Amis des amis (Les)";"BONITZER Pascal";"SBS PRODUCTIONS ET SBS FILMS";2455630;"fiction";"2018"
"148180";"Amour flou (L')";"BOHRINGER Romane / REBBOT Philippe";"ESCAZAL FILMS";521334;"fiction";"2018"
"141502";"Andy";"WEILL Julien";"MY FAMILY ET DAVIS FILMS";2375429;"fiction";"2018"
"123267";"Angle mort";"BERNARD Patrick Mario / TRIVIDIC Pierre";"EX NIHILO ET LES FILMS  DE PIERRE";3040591;"fiction";"2018"
"145775";"Après l'ombre";"MERCURIO Stéphane";"ISKRA";227805;"docu";"2018"
"148794";"Arthur et Célia";"JOLIVET Pierre";"2.4.7. FILMS";3032057;"fiction";"2018"
"147501";"Ash Is Purest White";"ZHANGKE Jia";"MK PRODUCTIONS";6506958;"fiction";"2018"
"147738";"Astérix et le secret de la potion magique";"ASTIER Alexandre / CLICHY Louis";"M6 STUDIO";33710811;"anim";"2018"
"145077";"Au nom de la terre";"BERGEON Edouard";"NORD-OUEST FILMS";5370351;"fiction";"2018"
"142187";"Au temps du cannibalisme";"EDKINS Teboho";"KINOELEKTRON";387733;"docu";"2018"
"149425";"Audition (L')";"WEISSE Ina";"IDÉALE AUDIENCE";2154500;"fiction";"2018"
"148160";"Bacurau";"FILHO Kleber Mendonca / DORNELLES Juliano";"SBS FILMS";2043453;"fiction";"2018"
"149297";"Ballade pour un cœur en miettes";"ECONOMIDES Yannis";"EZ FILMS";1598286;"fiction";"2018"
"148793";"Beau joueur";"GLEIZE Delphine";"LES PRODUCTIONS BALTHAZAR";399368;"docu";"2018"
