Nom_commune,Code_postal,coordonnees_gps
UFFHEIM,68510,47.6442489721,7.43802014569
UNGERSHEIM,68190,47.8739838916,7.30532668717
VIEUX FERRETTE,68480,47.5090177967,7.30400844003
WALBACH,68230,48.0704719047,7.20730643508
WATTWILLER,68700,47.8421539165,7.17527188812
WERENTZHOUSE,68480,47.5212216996,7.36266032447
WIDENSOLEN,68320,48.0579869802,7.48257799635
WIHR AU VAL,68230,48.0553731067,7.19720465805
WINTZENHEIM,68124,48.0635575339,7.27168140769
WITTELSHEIM,68310,47.7987366521,7.24011099826
WOLSCHWILLER,68480,47.4562913245,7.40696039971
ZELLENBERG,68340,48.1735139596,7.34011573543
ZILLISHEIM,68720,47.6858083083,7.30319308149
ZIMMERBACH,68230,48.0745599556,7.23005041952
ZIMMERSHEIM,68440,47.7187838073,7.38181973945
AIGUEPERSE,69790,46.2801268832,4.42330722719
ANCY,69490,45.8321615079,4.50376874726
BELLEVILLE EN BEAUJOLAIS,69220,46.1021561474,4.73105689691
BELMONT D AZERGUES,69380,45.8674607353,4.66814290336
BESSENAY,69690,45.774361074,4.54738228306
BIBOST,69690,45.7969461911,4.54895137965
VAL D OINGT,69620,45.9188737019,4.5787353944
BRIGNAIS,69530,45.678117475,4.75268787981
BRIGNAIS,69530,45.678117475,4.75268787981
BRON,69500,45.7344856902,4.91168159471
CHARLY,69390,45.6508030162,4.78979572338
CHARNAY,69380,45.891187551,4.66063186811
LES CHERES,69380,45.893124529,4.74321692649
COGNY,69640,45.987704614,4.61029755022
COISE,69590,45.6138333188,4.46902321077
CONDRIEU,69420,45.4743083818,4.75671075164
COURS,69470,46.1087135793,4.33699431774
COURZIEU,69690,45.7410710306,4.5702660914
CUBLIZE,69550,46.0245451147,4.3873320653
FONTAINES SUR SAONE,69270,45.8282811054,4.85664595594
FRANCHEVILLE,69340,45.7378794318,4.75508314041
GIVORS,69700,45.5816626973,4.7572616296
GREZIEU LE MARCHE,69610,45.6625017112,4.42125665222
LETRA,69620,45.9718911586,4.52615651956
MARCY,69480,45.9139105552,4.67605163558
MILLERY,69390,45.6304862126,4.77973349891
MOIRE,69620,45.9262357159,4.60176770404
DEUX GROSNES,69860,46.2227835629,4.51394181008
MONTMELAS ST SORLIN,69640,46.0177480558,4.60181116926
MONTROTTIER,69770,45.8005219603,4.46362962057
MORANCE,69480,45.8941529725,4.69976319866
MORNANT,69440,45.6159773607,4.67379130422
NEUVILLE SUR SAONE,69250,45.8829276204,4.84373616973
NEUVILLETTE,2390,49.8554002239,3.46831298648
ODENAS,69460,46.0937833535,4.64506094432
NOUVION ET CATILLON,2270,49.7075667391,3.49359729343
OULLINS,69600,45.7149665543,4.80299453846
NOUVION LE COMTE,2800,49.7079830783,3.46084868911
LE PERREON,69460,46.0696133822,4.58011470441
NOYANT ET ACONIN,2200,49.3319620657,3.33416303776
VINDRY SUR TURDINE,69490,45.8770735618,4.49571511005
OHIS,2500,49.9184307239,4.01170912127
PORTE DES PIERRES DOREES,69400,45.9554021029,4.64557594844
OLLEZY,2480,49.729996536,3.14607261695
POULE LES ECHARMEAUX,69870,46.1426190331,4.46070930029
OSLY COURTIL,2290,49.3995301311,3.23736511582
QUINCIE EN BEAUJOLAIS,69430,46.1132737898,4.60801374116
PARFONDRU,2840,49.5385213412,3.70351915315
SAIN BEL,69210,45.8121205501,4.59925971252
PARGNAN,2160,49.3942391486,3.70308940891
SARCEY,69490,45.88508474,4.55500376864
PARGNY LA DHUYS,2330,48.9545509576,3.56357370593
BEAUVALLON,69700,45.5895638016,4.69551467475
PLEINE SELVE,2240,49.7965883398,3.5260425643
ST BONNET LE TRONCY,69870,46.0764312104,4.41977426167
PLOMION,2140,49.8188816623,4.01999597737
STE CATHERINE,69440,45.6030568648,4.57279453276
PREMONT,2110,50.0143067533,3.39725258008
ST CLEMENT LES PLACES,69930,45.756189691,4.42060424905
PRESLES ET BOVES,2370,49.3900726835,3.54013980029
ST CLEMENT SUR VALSONNE,69170,45.9245957818,4.45989401825
PRISCES,2140,49.7721688271,3.86274146906
STE COLOMBE,69560,45.5250030617,4.85931457938
PROUVAIS,2190,49.4760906978,3.97215349857
ST CYR LE CHATOUX,69870,46.0314296952,4.53865267532
RAMICOURT,2110,49.9579684711,3.33105686967
ST ETIENNE DES OULLIERES,69460,46.0632060552,4.65601926022
RESSONS LE LONG,2290,49.3881779495,3.1411755288
ST GERMAIN AU MONT D OR,69650,45.8822105872,4.80144071839
REUILLY SAUVIGNY,2850,49.0506024106,3.56448771259
ST GERMAIN NUELLES,69210,45.8643153659,4.6129807389
ROCOURT ST MARTIN,2210,49.1453872803,3.3891401292
ST MARCEL L ECLAIRE,69170,45.8745331983,4.42248122756
ST ALGIS,2260,49.8944330304,3.82546447463
CHABANIERE,69440,45.5781277955,4.64115905425
ST BANDRY,2290,49.3638994868,3.14949009826
CHABANIERE,69440,45.5781277955,4.64115905425
STE CROIX,2820,49.4800538584,3.78129682642
ST NIZIER D AZERGUES,69870,46.0832387842,4.4623284164
ST ERME OUTRE ET RAMECOURT,2820,49.5182833727,3.86386406835
ST PIERRE LA PALUD,69210,45.7818245427,4.61622468853
ST GOBAIN,2410,49.5953887213,3.39411143672
ST ROMAIN EN GAL,69560,45.5357749158,4.8261922699
ST GOBERT,2140,49.8037605968,3.83219152047
ST VERAND,69620,45.9219304015,4.51963645902
ST NICOLAS AUX BOIS,2410,49.5970302282,3.43898003392
TAPONAS,69220,46.1258360429,4.76268144564
ST THIBAUT,2220,49.2891405131,3.61650327087
THIZY LES BOURGS,69240,46.0302777714,4.31390305209
SAPONAY,2130,49.2143831516,3.48437985358
TREVES,69420,45.5348002841,4.68968539242
SAULCHERY,2310,48.9756405479,3.31260850509
TUPIN ET SEMONS,69420,45.4902621109,4.77454141311
SERVAIS,2700,49.6194083182,3.34197325752
VALSONNE,69170,45.946942199,4.42166698424
SISSONNE,2150,49.5639648451,3.92032139579
VAULX EN VELIN,69120,45.7858821061,4.92637767698
SORBAIS,2580,49.9137614487,3.88302482521
VERNAY,69430,46.1645022966,4.52661139979
TROESNES,2460,49.1981484588,3.1768274022
VOURLES,69390,45.6578547027,4.76815797121
