Title;Synopsis;Début du projet;Fin du projet;Visuel;Nature;Budget;Catégorie;link.text;link.url;Owner;Year
Avatar ;;;01/01/2009;;MOVIE;237000000;Action|Adventure|Fantasy|Sci-Fi;IMDB;http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1;public;2009
Pirates of the Caribbean: At World's End ;;;01/01/2007;;MOVIE;300000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1;public;2007
Spectre ;;;01/01/2015;;MOVIE;245000000;Action|Adventure|Thriller;IMDB;http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1;public;2015
The Dark Knight Rises ;;;01/01/2012;;MOVIE;250000000;Action|Thriller;IMDB;http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1;public;2012
Star Wars: Episode VII - The Force Awakens             ;;;01/01/;;MOVIE;;Documentary;IMDB;http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1;public;0
John Carter ;;;01/01/2012;;MOVIE;263700000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1;public;2012
Spider-Man 3 ;;;01/01/2007;;MOVIE;258000000;Action|Adventure|Romance;IMDB;http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1;public;2007
Tangled ;;;01/01/2010;;MOVIE;260000000;Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance;IMDB;http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1;public;2010
Avengers: Age of Ultron ;;;01/01/2015;;MOVIE;250000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1;public;2015
Harry Potter and the Half-Blood Prince ;;;01/01/2009;;MOVIE;250000000;Adventure|Family|Fantasy|Mystery;IMDB;http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1;public;2009
Batman v Superman: Dawn of Justice ;;;01/01/2016;;MOVIE;250000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1;public;2016
Superman Returns ;;;01/01/2006;;MOVIE;209000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1;public;2006
Quantum of Solace ;;;01/01/2008;;MOVIE;200000000;Action|Adventure;IMDB;http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1;public;2008
Pirates of the Caribbean: Dead Man's Chest ;;;01/01/2006;;MOVIE;225000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1;public;2006
The Lone Ranger ;;;01/01/2013;;MOVIE;215000000;Action|Adventure|Western;IMDB;http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1;public;2013
Man of Steel ;;;01/01/2013;;MOVIE;225000000;Action|Adventure|Fantasy|Sci-Fi;IMDB;http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1;public;2013
The Chronicles of Narnia: Prince Caspian ;;;01/01/2008;;MOVIE;225000000;Action|Adventure|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1;public;2008
The Avengers ;;;01/01/2012;;MOVIE;220000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1;public;2012
Pirates of the Caribbean: On Stranger Tides ;;;01/01/2011;;MOVIE;250000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1;public;2011
Men in Black 3 ;;;01/01/2012;;MOVIE;225000000;Action|Adventure|Comedy|Family|Fantasy|Sci-Fi;IMDB;http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1;public;2012
The Hobbit: The Battle of the Five Armies ;;;01/01/2014;;MOVIE;250000000;Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1;public;2014
The Amazing Spider-Man ;;;01/01/2012;;MOVIE;230000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1;public;2012
Robin Hood ;;;01/01/2010;;MOVIE;200000000;Action|Adventure|Drama|History;IMDB;http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1;public;2010
The Hobbit: The Desolation of Smaug ;;;01/01/2013;;MOVIE;225000000;Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1;public;2013
The Golden Compass ;;;01/01/2007;;MOVIE;180000000;Adventure|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1;public;2007
King Kong ;;;01/01/2005;;MOVIE;207000000;Action|Adventure|Drama|Romance;IMDB;http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1;public;2005
Titanic ;;;01/01/1997;;MOVIE;200000000;Drama|Romance;IMDB;http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1;public;1997
Captain America: Civil War ;;;01/01/2016;;MOVIE;250000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1;public;2016
Battleship ;;;01/01/2012;;MOVIE;209000000;Action|Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1;public;2012
Jurassic World ;;;01/01/2015;;MOVIE;150000000;Action|Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1;public;2015
Skyfall ;;;01/01/2012;;MOVIE;200000000;Action|Adventure|Thriller;IMDB;http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1;public;2012
Spider-Man 2 ;;;01/01/2004;;MOVIE;200000000;Action|Adventure|Fantasy|Romance;IMDB;http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1;public;2004
Iron Man 3 ;;;01/01/2013;;MOVIE;200000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1;public;2013
Alice in Wonderland ;;;01/01/2010;;MOVIE;200000000;Adventure|Family|Fantasy;IMDB;http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1;public;2010
X-Men: The Last Stand ;;;01/01/2006;;MOVIE;210000000;Action|Adventure|Fantasy|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1;public;2006
Monsters University ;;;01/01/2013;;MOVIE;200000000;Adventure|Animation|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1;public;2013
